input_file,size,num_processors,elapsed_time
test_data/input_4M_1.txt, 4194304, 32, 0.315003
test_data/input_4M_1.txt, 4194304, 128, 0.325605
test_data/input_4M_1.txt, 4194304, 256, 0.323736
test_data/input_4M_2.txt, 4194304, 2, 0.345379
test_data/input_4M_2.txt, 4194304, 4, 0.32725
test_data/input_4M_2.txt, 4194304, 8, 0.315105
test_data/input_4M_2.txt, 4194304, 16, 0.334043
test_data/input_4M_2.txt, 4194304, 32, 0.315893
test_data/input_4M_2.txt, 4194304, 128, 0.325056
test_data/input_4M_2.txt, 4194304, 256, 0.324008
test_data/input_4M_3.txt, 4194304, 2, 0.340661
test_data/input_4M_3.txt, 4194304, 4, 0.326925
test_data/input_4M_3.txt, 4194304, 8, 0.314867
test_data/input_4M_3.txt, 4194304, 16, 0.332758
test_data/input_4M_3.txt, 4194304, 32, 0.31712
test_data/input_4M_3.txt, 4194304, 128, 0.324611
test_data/input_4M_3.txt, 4194304, 256, 0.325126
test_data/input_4M_4.txt, 4194304, 2, 0.343016
test_data/input_4M_4.txt, 4194304, 4, 0.327067
test_data/input_4M_4.txt, 4194304, 8, 0.313249
test_data/input_4M_4.txt, 4194304, 16, 0.331076
test_data/input_4M_4.txt, 4194304, 32, 0.316113
test_data/input_4M_4.txt, 4194304, 128, 0.324653
test_data/input_4M_4.txt, 4194304, 256, 0.325277
test_data/input_4M_5.txt, 4194304, 2, 0.421571
test_data/input_4M_5.txt, 4194304, 4, 0.40526
test_data/input_4M_5.txt, 4194304, 8, 0.424955
test_data/input_4M_5.txt, 4194304, 16, 0.428105
test_data/input_4M_5.txt, 4194304, 32, 0.404221
test_data/input_4M_5.txt, 4194304, 128, 0.425335
test_data/input_4M_5.txt, 4194304, 256, 0.399081
test_data/input_4M_6.txt, 4194304, 2, 0.428268
test_data/input_4M_6.txt, 4194304, 4, 0.417316
test_data/input_4M_6.txt, 4194304, 8, 0.406888
test_data/input_4M_6.txt, 4194304, 16, 0.428293
test_data/input_4M_6.txt, 4194304, 32, 0.411983
test_data/input_4M_6.txt, 4194304, 128, 0.41886
test_data/input_4M_6.txt, 4194304, 256, 0.380618
test_data/input_4M_7.txt, 4194304, 2, 0.462692
test_data/input_4M_7.txt, 4194304, 4, 0.412964
test_data/input_4M_7.txt, 4194304, 8, 0.402506
test_data/input_4M_7.txt, 4194304, 16, 0.468684
