input_file,number_keys,num_processors,elapsed_time
test_data/input_4M_2.txt, 4194304, 16, 0.168792
test_data/input_4M_2.txt, 4194304, 32, 0.134593
test_data/input_4M_2.txt, 4194304, 64, 0.17844
test_data/input_4M_2.txt, 4194304, 128, 0.189463
test_data/input_4M_2.txt, 4194304, 256, 0.233343
test_data/input_4M_3.txt, 4194304, 2, 0.175241
test_data/input_4M_3.txt, 4194304, 4, 0.144347
test_data/input_4M_3.txt, 4194304, 8, 0.136788
test_data/input_4M_3.txt, 4194304, 16, 0.132968
test_data/input_4M_3.txt, 4194304, 32, 0.133226
test_data/input_4M_3.txt, 4194304, 64, 0.143173
test_data/input_4M_3.txt, 4194304, 128, 0.203267
test_data/input_4M_3.txt, 4194304, 256, 0.237025
test_data/input_4M_4.txt, 4194304, 2, 0.175243
test_data/input_4M_4.txt, 4194304, 4, 0.148853
test_data/input_4M_4.txt, 4194304, 8, 0.100539
test_data/input_4M_4.txt, 4194304, 16, 0.111094
test_data/input_4M_4.txt, 4194304, 32, 0.130863
test_data/input_4M_4.txt, 4194304, 64, 0.18231
test_data/input_4M_4.txt, 4194304, 128, 0.17403
test_data/input_4M_4.txt, 4194304, 256, 0.229253
test_data/input_4M_5.txt, 4194304, 2, 0.245267
test_data/input_4M_5.txt, 4194304, 4, 0.253442
test_data/input_4M_5.txt, 4194304, 8, 0.208879
test_data/input_4M_5.txt, 4194304, 16, 0.176256
test_data/input_4M_5.txt, 4194304, 32, 0.262961
test_data/input_4M_5.txt, 4194304, 64, 0.230223
test_data/input_4M_5.txt, 4194304, 128, 0.284493
test_data/input_4M_5.txt, 4194304, 256, 0.391486
test_data/input_4M_6.txt, 4194304, 2, 0.234604
test_data/input_4M_6.txt, 4194304, 4, 0.195947
test_data/input_4M_6.txt, 4194304, 8, 0.158713
test_data/input_4M_6.txt, 4194304, 16, 0.266972
test_data/input_4M_6.txt, 4194304, 32, 0.152082
test_data/input_4M_6.txt, 4194304, 64, 0.200758
test_data/input_4M_6.txt, 4194304, 128, 0.250423
test_data/input_4M_6.txt, 4194304, 256, 0.410424
test_data/input_4M_7.txt, 4194304, 2, 0.251958
test_data/input_4M_7.txt, 4194304, 4, 0.177624
test_data/input_4M_7.txt, 4194304, 8, 0.201831
test_data/input_4M_7.txt, 4194304, 16, 0.247238
test_data/input_4M_7.txt, 4194304, 32, 0.270275
test_data/input_4M_7.txt, 4194304, 64, 0.210375
test_data/input_4M_7.txt, 4194304, 128, 0.237101
test_data/input_4M_7.txt, 4194304, 256, 0.224393
test_data/input_4M_8.txt, 4194304, 2, 0.256257
test_data/input_4M_8.txt, 4194304, 4, 0.145568
test_data/input_4M_8.txt, 4194304, 8, 0.118165
test_data/input_4M_8.txt, 4194304, 16, 0.253589
test_data/input_4M_8.txt, 4194304, 32, 0.311571
test_data/input_4M_8.txt, 4194304, 64, 0.220654
test_data/input_4M_8.txt, 4194304, 128, 0.325438
test_data/input_4M_8.txt, 4194304, 256, 0.273182
test_data/input_4M_9.txt, 4194304, 2, 0.244028
test_data/input_4M_9.txt, 4194304, 4, 0.126951
test_data/input_4M_9.txt, 4194304, 8, 0.147489
test_data/input_4M_9.txt, 4194304, 16, 0.258663
test_data/input_4M_9.txt, 4194304, 32, 0.183754
test_data/input_4M_9.txt, 4194304, 64, 0.246398
test_data/input_4M_9.txt, 4194304, 128, 0.238111
test_data/input_4M_9.txt, 4194304, 256, 0.275039
test_data/input_4M_10.txt, 4194304, 2, 0.240033
test_data/input_4M_10.txt, 4194304, 4, 0.145829
test_data/input_4M_10.txt, 4194304, 8, 0.117201
test_data/input_4M_10.txt, 4194304, 16, 0.131629
test_data/input_4M_10.txt, 4194304, 32, 0.255019
test_data/input_4M_10.txt, 4194304, 64, 0.167696
test_data/input_4M_10.txt, 4194304, 128, 0.199281
test_data/input_4M_10.txt, 4194304, 256, 0.259806
test_data/input_8M_1.txt, 8388608, 2, 0.398783
test_data/input_8M_1.txt, 8388608, 4, 0.291299
test_data/input_8M_1.txt, 8388608, 8, 0.388497
test_data/input_8M_1.txt, 8388608, 16, 0.220728
test_data/input_8M_1.txt, 8388608, 32, 0.315478
test_data/input_8M_1.txt, 8388608, 64, 0.485304
test_data/input_8M_1.txt, 8388608, 128, 0.375011
test_data/input_8M_1.txt, 8388608, 256, 0.554373
test_data/input_8M_2.txt, 8388608, 2, 0.397799
test_data/input_8M_2.txt, 8388608, 4, 0.39287
test_data/input_8M_2.txt, 8388608, 8, 0.283322
test_data/input_8M_2.txt, 8388608, 16, 0.420679
test_data/input_8M_2.txt, 8388608, 32, 0.429462
test_data/input_8M_2.txt, 8388608, 64, 0.283971
test_data/input_8M_2.txt, 8388608, 128, 0.324874
test_data/input_8M_2.txt, 8388608, 256, 0.51582
test_data/input_8M_3.txt, 8388608, 2, 0.404707
test_data/input_8M_3.txt, 8388608, 4, 0.350829
test_data/input_8M_3.txt, 8388608, 8, 0.396255
test_data/input_8M_3.txt, 8388608, 16, 0.418809
test_data/input_8M_3.txt, 8388608, 32, 0.416586
test_data/input_8M_3.txt, 8388608, 64, 0.425455
test_data/input_8M_3.txt, 8388608, 128, 0.510621
test_data/input_8M_3.txt, 8388608, 256, 0.357519
test_data/input_8M_4.txt, 8388608, 2, 0.409268
test_data/input_8M_4.txt, 8388608, 4, 0.386765
test_data/input_8M_4.txt, 8388608, 8, 0.382401
test_data/input_8M_4.txt, 8388608, 16, 0.301547
test_data/input_8M_4.txt, 8388608, 32, 0.318139
test_data/input_8M_4.txt, 8388608, 64, 0.327413
test_data/input_8M_4.txt, 8388608, 128, 0.399555
test_data/input_8M_4.txt, 8388608, 256, 0.523827
test_data/input_8M_5.txt, 8388608, 2, 0.406387
test_data/input_8M_5.txt, 8388608, 4, 0.384875
test_data/input_8M_5.txt, 8388608, 8, 0.390544
test_data/input_8M_5.txt, 8388608, 16, 0.293814
test_data/input_8M_5.txt, 8388608, 32, 0.490573
test_data/input_8M_5.txt, 8388608, 64, 0.480338
test_data/input_8M_5.txt, 8388608, 128, 0.496949
test_data/input_8M_5.txt, 8388608, 256, 0.498704
test_data/input_8M_6.txt, 8388608, 2, 0.412273
test_data/input_8M_6.txt, 8388608, 4, 0.39151
test_data/input_8M_6.txt, 8388608, 8, 0.230831
test_data/input_8M_6.txt, 8388608, 16, 0.345351
test_data/input_8M_6.txt, 8388608, 32, 0.391042
test_data/input_8M_6.txt, 8388608, 64, 0.418599
test_data/input_8M_6.txt, 8388608, 128, 0.482116
test_data/input_8M_6.txt, 8388608, 256, 0.652859
test_data/input_8M_7.txt, 8388608, 2, 0.50698
test_data/input_8M_7.txt, 8388608, 4, 0.294105
test_data/input_8M_7.txt, 8388608, 8, 0.274837
test_data/input_8M_7.txt, 8388608, 16, 0.35993
test_data/input_8M_7.txt, 8388608, 32, 0.541212
test_data/input_8M_7.txt, 8388608, 64, 0.323487
test_data/input_8M_7.txt, 8388608, 128, 0.526072
test_data/input_8M_7.txt, 8388608, 256, 0.647913
test_data/input_8M_8.txt, 8388608, 2, 0.44321
test_data/input_8M_8.txt, 8388608, 4, 0.264573
test_data/input_8M_8.txt, 8388608, 8, 0.433968
test_data/input_8M_8.txt, 8388608, 16, 0.251816
test_data/input_8M_8.txt, 8388608, 32, 0.33794
test_data/input_8M_8.txt, 8388608, 64, 0.456748
test_data/input_8M_8.txt, 8388608, 128, 0.525292
test_data/input_8M_8.txt, 8388608, 256, 0.717867
test_data/input_8M_9.txt, 8388608, 2, 0.447967
test_data/input_8M_9.txt, 8388608, 4, 0.348749
test_data/input_8M_9.txt, 8388608, 8, 0.364061
test_data/input_8M_9.txt, 8388608, 16, 0.315985
test_data/input_8M_9.txt, 8388608, 32, 0.445168
test_data/input_8M_9.txt, 8388608, 64, 0.408646
test_data/input_8M_9.txt, 8388608, 128, 0.619654
test_data/input_8M_9.txt, 8388608, 256, 0.444048
test_data/input_8M_10.txt, 8388608, 2, 0.458099
test_data/input_8M_10.txt, 8388608, 4, 0.325245
test_data/input_8M_10.txt, 8388608, 8, 0.373671
test_data/input_8M_10.txt, 8388608, 16, 0.43638
test_data/input_8M_10.txt, 8388608, 32, 0.400433
test_data/input_8M_10.txt, 8388608, 64, 0.406244
test_data/input_8M_10.txt, 8388608, 128, 0.383367
test_data/input_8M_10.txt, 8388608, 256, 0.575565
test_data/input_16M_1.txt, 16777216, 2, 1.18992
test_data/input_16M_1.txt, 16777216, 4, 0.961409
test_data/input_16M_1.txt, 16777216, 8, 0.963565
test_data/input_16M_1.txt, 16777216, 16, 0.609153
test_data/input_16M_1.txt, 16777216, 32, 0.809291
test_data/input_16M_1.txt, 16777216, 64, 0.821872
test_data/input_16M_1.txt, 16777216, 128, 0.877408
test_data/input_16M_1.txt, 16777216, 256, 0.97921
test_data/input_16M_2.txt, 16777216, 2, 1.17108
test_data/input_16M_2.txt, 16777216, 4, 1.02072
test_data/input_16M_2.txt, 16777216, 8, 1.03114
test_data/input_16M_2.txt, 16777216, 16, 0.51107
test_data/input_16M_2.txt, 16777216, 32, 0.544353
test_data/input_16M_2.txt, 16777216, 64, 1.14942
test_data/input_16M_2.txt, 16777216, 128, 1.36996
test_data/input_16M_2.txt, 16777216, 256, 0.94221
test_data/input_16M_3.txt, 16777216, 2, 1.19947
test_data/input_16M_3.txt, 16777216, 4, 1.00535
test_data/input_16M_3.txt, 16777216, 8, 0.859685
test_data/input_16M_3.txt, 16777216, 16, 0.868387
test_data/input_16M_3.txt, 16777216, 32, 1.10319
test_data/input_16M_3.txt, 16777216, 64, 0.989353
test_data/input_16M_3.txt, 16777216, 128, 0.648748
test_data/input_16M_3.txt, 16777216, 256, 1.17903
test_data/input_16M_4.txt, 16777216, 2, 1.21311
test_data/input_16M_4.txt, 16777216, 4, 0.635915
test_data/input_16M_4.txt, 16777216, 8, 0.53436
test_data/input_16M_4.txt, 16777216, 16, 1.06572
test_data/input_16M_4.txt, 16777216, 32, 1.08964
test_data/input_16M_4.txt, 16777216, 64, 0.677545
